Index,Name,Year,Spectators,TitleSponsors,Broadcasting,GDP,Clubs,FA_Pitcher,FA_Hitter,BirthYear,Age,Captain,NationalMember,Marriage,Surgery,Salary,Total,Period,Transfer,GoldenGlove,Rookie,AllStar,Interest,Inflation,Hometown,RewardPlayer,PreviousTeam,NewTeam,Position
1,김동수,2000,3220624,30,46,"576,873",8,4,1,1968,33,1,0,1,1,2.67,8.00,3,1,6,1,7,4.75,0.8,서울특별시,김상엽,LG 트윈스,삼성 라이온즈,C
2,홍현우,2001,2507549,30,50,"635,185",8,2,4,1972,30,0,0,0,0,5.00,20,4,1,3,0,7,5,2.3,광주광역시,최익성,해태 타이거즈,LG 트윈스,3B
3,양준혁,2002,2991064,35,80,"688,165",8,1,3,1969,34,1,1,1,1,6.80,27.2,4,1,4,1,8,4.5,4.1,대구광역시,현금 보상,LG 트윈스,삼성 라이온즈,DH
4,김민재,2002,2991064,35,80,"688,165",8,1,3,1973,30,0,0,1,0,2.50,10,4,1,0,0,0,4.5,4.1,부산광역시,현금 보상,롯데 자이언츠,SK 와이번스,SS
5,박경완,2003,2394570,35,83.33,"761,939",8,2,3,1972,32,0,1,1,1,6.33,19,3,1,3,0,7,4.25,2.8,전라북도 전주시,조규제,현대 유니콘스,SK 와이번스,C
6,박종호,2004,2722801,35,83.67,"810,915",8,5,7,1973,32,0,0,1,0,5.50,22,4,1,2,0,2,3.75,3.5,서울특별시,노병오,현대 유니콘스,삼성 라이온즈,2B
7,마해영,2004,2722801,35,83.67,"810,915",8,5,7,1970,35,0,1,1,0,7.00,28,4,1,1,0,5,3.75,3.5,부산광역시,신동주,삼성 라이온즈,KIA 타이거즈,DH
8,정수근,2004,2722801,35,83.67,"810,915",8,5,7,1977,28,0,1,1,0,6.77,40.6,6,1,2,0,6,3.75,3.5,서울특별시,문동환 [2],두산 베어스,롯데 자이언츠,CF
9,심정수,2005,2331978,35,90,"876,033",8,2,9,1975,31,0,1,1,0,15.00,60,4,1,2,0,4,3.5,3.6,충청남도 대전시,현금 보상,현대 유니콘스,삼성 라이온즈,RF
10,박진만,2005,2331978,35,90,"876,033",8,2,9,1976,30,0,1,1,0,9.75,39,4,1,3,0,5,3.5,3.6,인천광역시,이정호,현대 유니콘스,삼성 라이온즈,SS
11,김재현,2005,2331978,35,90,"876,033",8,2,9,1975,31,0,0,1,1,5.18,20.7,4,1,2,0,6,3.5,3.6,서울특별시,안재만,LG 트윈스,SK 와이번스,RF
12,김민재,2006,3387843,45,79,"919,797",8,2,12,1973,34,0,1,1,0,3.50,14,4,1,0,0,3,3.25,2.8,부산광역시,정병희,SK 와이번스,한화 이글스,SS
13,정성훈,2008,4104429,45,115,"1,043,258",8,2,7,1980,29,0,1,0,0,3.88,15.5,4,1,0,0,5,4.75,2.5,광주광역시,현금 보상,히어로즈,LG 트윈스,3B
14,이진영,2008,4104429,45,115,"1,043,258",8,2,7,1980,29,0,1,1,1,11.00,44,4,1,1,0,3,4.75,2.5,전라북도 군산시,이승호,SK 와이번스,LG 트윈스,RF
15,홍성흔,2008,4104429,45,115,"1,043,258",8,2,7,1977,32,1,1,1,0,7.50,30,4,1,2,1,7,4.75,2.5,강원도 횡성군,이원석,두산 베어스,롯데 자이언츠,C
16,이범호,2011,5928626,40,212,"1,265,308",8,2,3,1981,31,0,1,1,0,12.00,12,1,1,2,0,5,2.25,2.9,경상북도 의성군,안영명,한화 이글스,KIA 타이거즈,3B
17,조인성,2012,6810028,50,282,"1,332,681",8,7,11,1975,38,1,1,1,1,6.33,19,3,1,1,0,10,3,4,서울특별시,임정우,LG 트윈스,SK 와이번스,C
18,이택근,2012,6810028,50,282,"1,332,681",8,7,11,1980,33,0,1,0,1,12.50,50,4,1,2,0,4,3,4,부산광역시,윤지웅,LG 트윈스,넥센 히어로즈,1B
19,이호준,2013,7156157,65,302,"1,377,457",8,4,7,1976,38,1,0,1,1,6.67,20,3,1,0,0,1,2.75,2.2,광주광역시,현금 보상*,SK 와이번스,NC 다이노스,DH
20,이현곤,2013,7156157,65,302,"1,377,457",8,4,7,1980,34,0,1,1,0,3.50,10.5,3,1,0,0,2,2.75,2.2,광주광역시,현금 보상*,KIA 타이거즈,NC 다이노스,1B
21,김주찬,2013,7156157,65,302,"1,377,457",8,4,7,1981,33,0,1,0,1,12.50,50,4,1,0,0,3,2.75,2.2,경기도 수원시,홍성민,롯데 자이언츠,KIA 타이거즈,LF
22,홍성흔,2013,7156157,65,302,"1,377,457",8,4,7,1977,37,1,1,1,1,7.75,31,4,1,6,1,11,2.75,2.2,강원도 횡성군,김승회,롯데 자이언츠,두산 베어스,DH
23,이용규,2014,6441945,65,302,"1,429,445",9,3,12,1985,30,0,1,1,1,16.75,67,4,1,3,0,5,2.5,1.3,전라북도 군산시,한승택,KIA 타이거즈,한화 이글스,CF
24,정근우,2014,6441945,65,302,"1,429,445",9,3,12,1982,33,1,1,1,1,17.50,70,4,1,3,0,3,2.5,1.3,부산광역시,현금 보상,SK 와이번스,한화 이글스,2B
25,이대형,2014,6441945,65,302,"1,429,445",9,3,12,1983,32,0,0,0,1,6.00,24,4,1,1,0,1,2.5,1.3,충청남도 보령군,신승현,LG 트윈스,KIA 타이거즈,CF
26,이종욱,2014,6441945,65,302,"1,429,445",9,3,12,1980,35,1,1,1,1,12.50,50,4,1,3,0,6,2.5,1.3,서울특별시,현금 보상*,두산 베어스,NC 다이노스,CF
27,손시헌,2014,6441945,65,302,"1,429,445",9,3,12,1980,35,1,1,1,1,7.50,30,4,1,2,0,4,2.5,1.3,서울특별시,현금 보상*,두산 베어스,NC 다이노스,SS
28,최준석,2014,6441945,65,302,"1,429,445",9,3,12,1983,32,0,0,1,1,8.75,35,4,1,1,0,0,2.5,1.3,대구광역시,김수완,두산 베어스,롯데 자이언츠,1B
29,박경수,2015,6509915,65,450,"1,486,079",9,9,11,1984,32,0,1,1,0,4.50,18,4,1,0,0,3,2.25,1.3,서울특별시,현금 보상**,LG 트윈스,kt 위즈,2B
30,박기혁,2015,6509915,65,450,"1,486,079",9,9,11,1981,35,0,1,0,1,2.85,11.4,4,1,1,0,4,2.25,1.3,대구광역시,현금 보상**,롯데 자이언츠,kt 위즈,SS
31,정상호,2016,7360530,67,560,"1,558,592",10,8,12,1982,35,0,1,1,0,8.00,32,4,1,0,0,1,1.75,0.7,인천광역시,최승준,SK 와이번스,LG 트윈스,C
32,유한준,2016,7360530,67,560,"1,558,592",10,8,12,1981,36,0,1,1,1,15.00,60,4,1,0,0,1,1.75,0.7,경기도 군포시,현금 보상**,넥센 히어로즈,kt 위즈,RF
33,박석민,2016,7360530,67,560,"1,558,592",10,8,12,1985,32,1,0,1,1,24.00,96,4,1,1,0,2,1.75,0.7,대구광역시,최재원,삼성 라이온즈,NC 다이노스,3B
34,이원석,2017,8339577,67,560,"1,623,840",10,6,8,1986,32,0,1,0,1,6.75,27,4,1,0,0,0,1.25,1,광주광역시,이흥련,두산 베어스,삼성 라이온즈,3B
35,최형우,2017,8339577,67,560,"1,623,840",10,6,8,1983,35,1,1,1,1,25.00,100,4,1,3,1,1,1.25,1,전라북도 전주시,강한울,삼성 라이온즈,KIA 타이거즈,LF
36,김기태,2001,2507549,30,50,"635,185",8,2,4,1969,33,1,1,1,0,4.50,18,4,0,3,0,9,5,2.3,광주광역시,,삼성 라이온즈,,DH
37,장종훈,2001,2507549,30,50,"635,185",8,2,4,1968,34,1,0,1,1,2.33,7,3,0,5,0,8,5,2.3,충청북도 영동군,,한화 이글스,,1B
38,강석천,2001,2507549,30,50,"635,185",8,2,4,1967,35,1,0,0,0,1.70,5.1,3,0,0,0,3,5,2.3,충청북도 청주시,,한화 이글스,,3B
39,전준호,2002,2991064,35,80,"688,165",8,1,3,1969,34,0,0,0,0,4.00,12,3,0,3,0,5,4.5,4.1,경상남도 창원시,,현대 유니콘스,,LF
40,안경현,2003,2394570,35,83.33,"761,939",8,2,3,1970,34,1,1,1,0,3.75,15,4,0,1,0,4,4.25,2.8,강원도 원주시,,두산 베어스,,2B
41,박정태,2003,2394570,35,83.33,"761,939",8,2,3,1969,35,1,1,0,0,3.00,6,2,0,5,0,7,4.25,2.8,부산광역시,,롯데 자이언츠,,2B
42,이숭용,2004,2722801,35,83.67,"810,915",8,5,7,1971,34,0,1,0,0,5.83,17.5,3,0,0,0,2,3.75,3.5,서울특별시,,현대 유니콘스,,1B
43,김종훈,2004,2722801,35,83.67,"810,915",8,5,7,1972,33,0,0,0,0,1.73,5.2,3,0,0,0,0,3.75,3.5,대전광역시,,삼성 라이온즈,,LF
44,유지현,2004,2722801,35,83.67,"810,915",8,5,7,1971,34,1,1,1,0,4.30,4.3,1,0,2,1,9,3.75,3.5,서울특별시,,LG 트윈스,,SS
45,장원진,2004,2722801,35,83.67,"810,915",8,5,7,1969,36,0,0,0,0,2.25,4.5,2,0,0,0,1,3.75,3.5,인천광역시,,두산 베어스,,1B
46,신동주,2005,2331978,35,90,"876,033",8,2,9,1972,34,0,0,1,1,1.63,4.9,3,0,0,0,2,3.5,3.6,경상북도 포항시,,삼성 라이온즈,,CF
