Index,Name,Year,Spectators,TitleSponsors,Broadcasting,GDP,Clubs,FA_Pitcher,FA_Hitter,BirthYear,Age,Captain,NationalMember,Marriage,Surgery,Salary,Total,Period,Transfer,GoldenGlove,Rookie,AllStar,PreviousTeam,NewTeam,RewardPlayer,Hometown,Inflation,Interest
1,이강철,2000,"3,220,624",30,46,"576,873",8,4,1,1966,35,1,1,1,1,2.67,8,3,1,0,0,4,해태 타이거즈,삼성 라이온즈,박충식,광주광역시,0.8,4.75
2,조규제,2004,"2,722,801",35,83.67,"810,915",8,5,7,1967,38,0,1,0,1,2.25,4.5,2,1,0,1,4,현대 유니콘스,KIA 타이거즈,-,전라북도 군산시,3.5,3.75
3,진필중,2004,"2,722,801",35,83.67,"810,915",8,5,7,1972,33,0,1,1,0,7.50,30,4,1,0,0,4,KIA 타이거즈,LG 트윈스,손지환,서울특별시,3.5,3.75
4,이상목,2004,"2,722,801",35,83.67,"810,915",8,5,7,1971,34,0,0,0,0,5.50,22,4,1,0,0,1,한화 이글스,롯데 자이언츠,신종길,대구광역시,3.5,3.75
5,박명환,2007,"3,040,254",45,115,"966,055",8,7,4,1977,31,0,1,1,0,10.00,40,4,1,0,0,2,두산 베어스,LG 트윈스,신재웅,서울특별시,2.2,4
6,임경완,2012,"6,810,028",50,282,"1,332,681",8,7,11,1975,38,0,0,1,0,3.67,11,3,1,0,0,1,롯데 자이언츠,SK 와이번스,임훈,부산광역시,4,3
7,이승호,2012,"6,810,028",50,282,"1,332,681",8,7,11,1981,32,0,1,1,1,6.00,24,4,1,0,1,3,SK 와이번스,롯데 자이언츠,허준혁,전라북도 군산시,4,3
8,정대현,2012,"6,810,028",50,282,"1,332,681",8,7,11,1978,35,0,1,1,1,9.00,36,4,1,0,0,3,SK 와이번스,롯데 자이언츠,임훈,전라북도 군산시,4,3
9,송신영,2012,"6,810,028",50,282,"1,332,681",8,7,11,1977,36,0,1,1,1,4.33,13,3,1,0,0,0,LG 트윈스,한화 이글스,나성용,서울특별시,4,3
10,정현욱,2013,"7,156,157",65,302,"1,377,457",8,4,7,1978,36,0,1,1,0,7.15,28.6,4,1,0,0,1,삼성 라이온즈,LG 트윈스,이승우,경상북도 고령군,2.2,2.75
11,권혁,2015,"6,509,915",65,450,"1,486,079",9,9,11,1983,33,0,1,1,1,8.00,32,4,1,0,0,2,삼성 라이온즈,한화 이글스,김민수,대구광역시,1.3,2.25
12,장원준,2015,"6,509,915",65,450,"1,486,079",9,9,11,1985,31,0,1,0,0,21.00,84,4,1,0,0,3,롯데 자이언츠,두산 베어스,정재훈,서울특별시,1.3,2.25
13,송은범,2015,"6,509,915",65,450,"1,486,079",9,9,11,1984,32,0,1,0,1,8.50,34,4,1,0,0,1,KIA 타이거즈,한화 이글스,임기영,인천광역시,1.3,2.25
14,배영수,2015,"6,509,915",65,450,"1,486,079",9,9,11,1981,35,0,1,1,1,7.00,21,3,1,1,0,2,삼성 라이온즈,한화 이글스,현금 보상[1],대구광역시,1.3,2.25
15,김사율,2015,"6,509,915",65,450,"1,486,079",9,9,11,1980,36,1,0,1,0,3.63,14.5,4,1,0,0,0,롯데 자이언츠,kt 위즈,현금 보상**,부산광역시,1.3,2.25
16,윤길현,2016,"7,360,530",67,560,"1,558,592",10,8,12,1983,34,0,0,1,1,9.50,38,4,1,0,0,0,SK 와이번스,롯데 자이언츠,김승회,대구광역시,0.7,1.75
17,손승락,2016,"7,360,530",67,560,"1,558,592",10,8,12,1982,35,0,1,1,1,15.00,60,4,1,1,0,7,넥센 히어로즈,롯데 자이언츠,현금 보상,대구광역시,0.7,1.75
18,정우람,2016,"7,360,530",67,560,"1,558,592",10,8,12,1985,32,0,1,1,0,21.00,84,4,1,0,0,2,SK 와이번스,한화 이글스,조영우,부산광역시,0.7,1.75
19,심수창,2016,"7,360,530",67,560,"1,558,592",10,8,12,1981,36,0,1,0,0,3.25,13,4,1,0,0,1,롯데 자이언츠,한화 이글스,박한길,서울특별시,0.7,1.75
