Index,Name,Year,Spectators,TitleSponsors,Broadcasting,Interest,Inflation,EconomicGrowth,Clubs,FA_Pitcher,FA_Hitter,BirthYear,Age,Hometown,Captain,NationalMember,Marriage,Surgery,PreviousTeam,NewTeam,Salary,Total,Period,Transfer,RewardPlayer,Position,GoldenGlove,Rookie,AllStar
1,김동수,2000,3220624,30,46,4.75,0.8,11.3,8,4,1,1968,33,서울특별시,1,0,1,1,LG 트윈스,삼성 라이온즈,2.67,8.00,3,1,김상엽,C,6,1,7
2,홍현우,2001,2507549,30,50,5,2.3,8.9,8,2,4,1972,30,광주광역시,0,0,0,0,해태 타이거즈,LG 트윈스,5.00,20,4,1,최익성,3B,3,0,7
3,양준혁,2002,2991064,35,80,4.5,4.1,4.5,8,1,3,1969,34,대구광역시,1,1,1,1,LG 트윈스,삼성 라이온즈,6.80,27.2,4,1,현금 보상,DH,4,1,8
4,김민재,2002,2991064,35,80,4.5,4.1,4.5,8,1,3,1973,30,부산광역시,0,0,1,0,롯데 자이언츠,SK 와이번스,2.50,10,4,1,현금 보상,SS,0,0,0
5,박경완,2003,2394570,35,83.33,4.25,2.8,7.4,8,2,3,1972,32,전라북도 전주시,0,1,1,1,현대 유니콘스,SK 와이번스,6.33,19,3,1,조규제,C,3,0,7
6,박종호,2004,2722801,35,83.67,3.75,3.5,2.9,8,5,7,1973,32,서울특별시,0,0,1,0,현대 유니콘스,삼성 라이온즈,5.50,22,4,1,노병오,2B,2,0,2
7,마해영,2004,2722801,35,83.67,3.75,3.5,2.9,8,5,7,1970,35,부산광역시,0,1,1,0,삼성 라이온즈,KIA 타이거즈,7.00,28,4,1,신동주,DH,1,0,5
8,정수근,2004,2722801,35,83.67,3.75,3.5,2.9,8,5,7,1977,28,서울특별시,0,1,1,0,두산 베어스,롯데 자이언츠,6.77,40.6,6,1,문동환 [2],CF,2,0,6
9,심정수,2005,2331978,35,90,3.5,3.6,4.9,8,2,9,1975,31,충청남도 대전시,0,1,1,0,현대 유니콘스,삼성 라이온즈,15.00,60,4,1,현금 보상,RF,2,0,4
10,박진만,2005,2331978,35,90,3.5,3.6,4.9,8,2,9,1976,30,인천광역시,0,1,1,0,현대 유니콘스,삼성 라이온즈,9.75,39,4,1,이정호,SS,3,0,5
