번호,이름,연도,연봉(=Y),총액(억),계약년수(년),년도,AVG_A,OBP_A,SLG_A,WAR_A,HR%_A,BB%_A,K%_A,BIPA_A,Spd_A,PSN_A,wOBA_A,wRC_A,wRAA_A,AVG_B,OBP_B,SLG_B,WAR_B,HR%_B,BB%_B,K%_B,BIPA_B,Spd_B,PSN_B,wOBA_B,wRC_B,wRAA_B
1,김동수,2000,2.67,8.00,3,1998,0.284,0.362,0.51,5.5,4.25,9.3,15.1,0.297,3.5,3.64,0.378,76.4,21.5,0.287,0.376,0.503,3.67,4.11,10,11.8,0.291,3,1.88,0.378,65.1,11.9
2,홍현우,2001,5.00,20,4,1996,0.332,0.453,0.533,8.75,3.1,17.7,11.7,0.355,5.3,17.49,0.442,112.4,52.4,0.234,0.374,0.447,2.52,3.88,17.2,17.5,0.249,3.9,12.92,0.363,53.7,7.1
3,양준혁,2002,6.80,27.2,4,1996,0.346,0.452,0.624,8.56,5.28,15.5,14.3,0.365,4.9,25.26,0.474,121.4,63.5,0.355,0.449,0.51,4.03,2.64,15.1,10.4,0.376,4.7,12.92,0.431,107.5,37.8
4,김민재,2002,2.50,10,4,2001,0.301,0.353,0.367,1.63,0.54,6.2,7.5,0.321,4.2,3,0.331,43,-6.1,0.301,0.353,0.367,1.63,0.54,6.2,7.5,0.321,4.2,3,0.331,43,-6.1
5,박경완,2003,6.33,19,3,2000,0.282,0.419,0.615,7.47,7.74,16.8,21.7,0.289,3,11.92,0.432,107.7,40.9,0.203,0.311,0.412,2.02,4.77,11.8,27.1,0.233,3.6,9.12,0.307,40.7,-7.2
6,박종호,2004,5.50,22,4,2000,0.34,0.428,0.49,5.56,1.85,11.3,8.7,0.358,5.2,9.47,0.398,96.6,26.7,0.293,0.371,0.396,3.41,1.01,7.9,8.9,0.315,5.2,6,0.34,72.5,0.9
7,마해영,2004,7.00,28,4,1999,0.372,0.442,0.672,7.18,6.05,10.2,11.2,0.371,4.2,10.24,0.468,143.8,64.6,0.291,0.371,0.568,4.21,6.63,9.8,15.5,0.285,1.6,1.95,0.406,101.7,33
8,정수근,2004,6.77,40.6,6,1999,0.325,0.408,0.424,5.55,0.34,11.9,9.5,0.358,7.7,3.86,0.376,97.1,16.4,0.321,0.384,0.386,2.15,0,8.2,9.2,0.354,6.4,0,0.354,39.3,4.1
9,심정수,2005,15.00,60,4,2003,0.335,0.478,0.72,10.19,8.82,20.6,10.5,0.287,3,10.78,0.498,152.7,80.7,0.256,0.385,0.48,3.33,4.84,16.5,28.1,0.321,2,0,0.389,73.3,18.4
10,박진만,2005,9.75,39,4,2003,0.283,0.379,0.458,4.09,3.11,10.7,12.8,0.3,2.7,8.73,0.363,72.5,10.7,0.286,0.365,0.445,4.03,3.36,9.5,13.2,0.301,3.2,8.87,0.362,70.6,9.5
