Index,Name,Year,Spectators,TitleSponsors,Broadcasting,Interest,Inflation,EconomicGrowth,Clubs,FA_Pitcher,FA_Hitter,BirthYear,Age,Hometown,Captain,NationalMember,Marriage,Surgery,PreviousTeam,NewTeam,Salary,Total,Period,Transfer,RewardPlayer,GoldenGlove,Rookie,AllStar
1,이강철,2000,"3,220,624",30,46,4.75,0.8,11.3,8,4,1,1966,35,광주광역시,1,1,1,1,해태 타이거즈,삼성 라이온즈,2.67,8,3,1,박충식,0,0,4
2,조규제,2004,"2,722,801",35,83.67,3.75,3.5,2.9,8,5,7,1967,38,전라북도 군산시,0,1,0,1,현대 유니콘스,KIA 타이거즈,2.25,4.5,2,1,-,0,1,4
3,진필중,2004,"2,722,801",35,83.67,3.75,3.5,2.9,8,5,7,1972,33,서울특별시,0,1,1,0,KIA 타이거즈,LG 트윈스,7.50,30,4,1,손지환,0,0,4
4,이상목,2004,"2,722,801",35,83.67,3.75,3.5,2.9,8,5,7,1971,34,대구광역시,0,0,0,0,한화 이글스,롯데 자이언츠,5.50,22,4,1,신종길,0,0,1
5,박명환,2007,"3,040,254",45,115,4,2.2,5.2,8,7,4,1977,31,서울특별시,0,1,1,0,두산 베어스,LG 트윈스,10.00,40,4,1,신재웅,0,0,2
6,임경완,2012,"6,810,028",50,282,3,4,3.7,8,7,11,1975,38,부산광역시,0,0,1,0,롯데 자이언츠,SK 와이번스,3.67,11,3,1,임훈,0,0,1
7,이승호,2012,"6,810,028",50,282,3,4,3.7,8,7,11,1981,32,전라북도 군산시,0,1,1,1,SK 와이번스,롯데 자이언츠,6.00,24,4,1,허준혁,0,1,3
8,정대현,2012,"6,810,028",50,282,3,4,3.7,8,7,11,1978,35,전라북도 군산시,0,1,1,1,SK 와이번스,롯데 자이언츠,9.00,36,4,1,임훈,0,0,3
9,송신영,2012,"6,810,028",50,282,3,4,3.7,8,7,11,1977,36,서울특별시,0,1,1,1,LG 트윈스,한화 이글스,4.33,13,3,1,나성용,0,0,0
10,정현욱,2013,"7,156,157",65,302,2.75,2.2,2.3,8,4,7,1978,36,경상북도 고령군,0,1,1,0,삼성 라이온즈,LG 트윈스,7.15,28.6,4,1,이승우,0,0,1
11,권혁,2015,"6,509,915",65,450,2.25,1.3,3.3,9,9,11,1983,33,대구광역시,0,1,1,1,삼성 라이온즈,한화 이글스,8.00,32,4,1,김민수,0,0,2
12,장원준,2015,"6,509,915",65,450,2.25,1.3,3.3,9,9,11,1985,31,서울특별시,0,1,0,0,롯데 자이언츠,두산 베어스,21.00,84,4,1,정재훈,0,0,3
13,송은범,2015,"6,509,915",65,450,2.25,1.3,3.3,9,9,11,1984,32,인천광역시,0,1,0,1,KIA 타이거즈,한화 이글스,8.50,34,4,1,임기영,0,0,1
14,배영수,2015,"6,509,915",65,450,2.25,1.3,3.3,9,9,11,1981,35,대구광역시,0,1,1,1,삼성 라이온즈,한화 이글스,7.00,21,3,1,현금 보상[1],1,0,2
15,김사율,2015,"6,509,915",65,450,2.25,1.3,3.3,9,9,11,1980,36,부산광역시,1,0,1,0,롯데 자이언츠,kt 위즈,3.63,14.5,4,1,현금 보상**,0,0,0
16,윤길현,2016,"7,360,530",67,560,1.75,0.7,2.6,10,8,12,1983,34,대구광역시,0,0,1,1,SK 와이번스,롯데 자이언츠,9.50,38,4,1,김승회,0,0,0
17,손승락,2016,"7,360,530",67,560,1.75,0.7,2.6,10,8,12,1982,35,대구광역시,0,1,1,1,넥센 히어로즈,롯데 자이언츠,15.00,60,4,1,현금 보상,1,0,7
18,정우람,2016,"7,360,530",67,560,1.75,0.7,2.6,10,8,12,1985,32,부산광역시,0,1,1,0,SK 와이번스,한화 이글스,21.00,84,4,1,조영우,0,0,2
19,심수창,2016,"7,360,530",67,560,1.75,0.7,2.6,10,8,12,1981,36,서울특별시,0,1,0,0,롯데 자이언츠,한화 이글스,3.25,13,4,1,박한길,0,0,1
20,우규민,2017,"8,339,577",67,560,1.25,1,2.9,10,6,8,1985,33,서울특별시,0,1,0,1,LG 트윈스,삼성 라이온즈,16.25,65,4,1,최재원,0,0,1
21,차우찬,2017,"8,339,577",67,560,1.25,1,2.9,10,6,8,1987,31,전라북도 군산시,0,1,0,0,삼성 라이온즈,LG 트윈스,23.75,95,4,1,이승현,0,0,3
22,김정수,2000,"3,220,624",30,46,4.75,0.8,11.3,8,4,1,1962,39,전라남도 화수군,0,0,0,0,해태 타이거즈,,1.50,1.5,1,0,,0,0,1
23,송유석,2000,"3,220,624",30,46,4.75,0.8,11.3,8,4,1,1966,35,전라남도 고흥군,1,0,0,0,LG 트윈스,,0.75,0.75,1,0,,0,0,0
24,송진우,2000,"3,220,624",30,46,4.75,0.8,11.3,8,4,1,1966,35,충청북도 증평군,0,1,1,0,한화 이글스,,2.33,7,3,0,,0,0,5
25,조계현,2001,"2,507,549",30,50,5,2.3,8.9,8,2,4,1964,38,전라북도 군산시,0,1,0,0,두산 베어스,,2.08,2.08,1,0,,0,0,5
26,김상진,2001,"2,507,549",30,50,5,2.3,8.9,8,2,4,1970,32,경상남도 마산시,0,0,1,1,삼성 라이온즈,,2.83,8.5,3,0,,0,0,4
27,김원형,2002,"2,991,064",35,80,4.5,4.1,4.5,8,1,3,1972,31,전라북도 전주시,0,1,0,1,SK 와이번스,,3.50,14,4,0,,0,0,3
28,강상수,2003,"2,394,570",35,83.33,4.25,2.8,7.4,8,2,3,1971,33,부산광역시,1,1,1,0,롯데 자이언츠,,1.33,4,3,0,,0,0,0
29,송진우,2003,"2,394,570",35,83.33,4.25,2.8,7.4,8,2,3,1966,38,충청북도 증평군,0,1,1,0,한화 이글스,,6.00,18,3,0,,1,0,8
30,가득염,2004,"2,722,801",35,83.67,3.75,3.5,2.9,8,5,7,1969,36,대전광역시,0,0,0,0,롯데 자이언츠,,1.87,5.6,3,0,,0,0,0
31,조웅천,2004,"2,722,801",35,83.67,3.75,3.5,2.9,8,5,7,1971,34,광주광역시,0,1,1,0,SK 와이번스,,2.67,8,3,0,,0,0,0
32,오봉옥,2005,"2,331,978",35,90,3.5,3.6,4.9,8,2,9,1968,38,제주특별자치도,0,0,0,0,한화 이글스,,1.50,3,2,0,,0,0,2
33,임창용,2005,"2,331,978",35,90,3.5,3.6,4.9,8,2,9,1976,30,광주광역시,0,1,1,0,삼성 라이온즈,,9.00,18,2,0,,0,0,7
34,위재영,2006,"3,387,843",45,79,3.25,2.8,3.9,8,2,12,1972,35,인천광역시,0,1,0,0,SK 와이번스,,2.67,8,3,0,,0,0,1
35,송진우,2006,"3,387,843",45,79,3.25,2.8,3.9,8,2,12,1966,41,충청북도 증평군,0,1,1,1,한화 이글스,,7.00,14,2,0,,1,0,10
